Volume Identifier,Access,Rights,U Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title (Marc 245,Imprint (MARC 260 a+b),Rights determination reason code,Date last update,Govt document,Pub date,Pub place,Language,Format
mdp.39015064432969,allow,public domain only when viewed in the US,1476239,,University of Michigan,1476239,67401373,,,8005457,Die extinction des fixsterinlichtes in der atmosphäre in ihrer beziehung zur astromischen refraction ...,"Druck von D. Bürckli, 1882.",bibliographically-derived by automatic processes,11/11/2007 11:30,0,1882,Switzerland,German,Book
mdp.39015069424565,allow,public domain only when viewed in the US,1476240,,University of Michigan,1476240,2801755,,,03015672 //r862,"Die photometrie der gestirne, von prof. dr. G. Müller ... Mit 81 figuren im text.","W. Engelmann, 1897.",bibliographically-derived by automatic processes,4/3/2013 19:25,0,1897,Germany,German,Book
uc1.b4594262,allow,public domain only when viewed in the US,1476240,,University of California,"GLAD17064955-B,b167196066",2801755,,,03015672 //r862,"Die photometrie der gestirne, von prof. dr. G. Müller ... Mit 81 figuren im text.","W. Engelmann, 1897.",bibliographically-derived by automatic processes,4/6/2013 19:25,0,1897,Germany,German,Book
uc1.b4233434,allow,public domain,1476244,,University of California,GLAD100725422-B,786464,,,66061933,Astronomy in space / Homer E. Newell ... [et al.].,"National Aeronautics and Space Administration, 1967.",bibliographically-derived by automatic processes,2/1/2013 4:35,1,1967,District of Columbia,English,Book
mdp.39015078033217,allow,public domain,1476247,,University of Michigan,1476247,1166649,,,33003277 //r86,"Introduction to practical astronomy, by Dinsmore Alter ...",Thomas Y. Crowell company [c1933],copyright renewal research was conducted,8/1/2012 5:30,0,1933,New York (State),English,Book
mdp.39015064483780,allow,public domain,1476250,,University of Michigan,1476250,11940238,,,5007715,"Lehrbuch der sphärischen astronomie,","F. Dümmler, 1851.",bibliographically-derived by automatic processes,3/23/2012 19:30,0,1851,Germany,German,Book
uc1.b113221,allow,public domain,1476250,,University of California,GLAD33774387-B,11940238,,,5007715,"Lehrbuch der sphärischen astronomie,","F. Dümmler, 1851.",bibliographically-derived by automatic processes,10/6/2009 23:30,0,1851,Germany,German,Book
hvd.hw26u7,allow,public domain,1476250,,Harvard University,3658695,11940238,,,5007715,"Lehrbuch der sphärischen astronomie,","F. Dümmler, 1851.",bibliographically-derived by automatic processes,5/14/2012 19:31,0,1851,Germany,German,Book
mdp.39015039800050,allow,public domain,1476251,,University of Michigan,1476251,40305906,,,2006277,"Tratado de astronomía esférica y práctica,","B. G. Teubner, 1871.",bibliographically-derived by automatic processes,2/16/2012 4:31,0,1871,"No place, unknown, or undetermined",Spanish,Book
hvd.32044074410341,allow,public domain,1476251,,Harvard University,3266850,40305906,,,2006277,"Tratado de astronomía esférica y práctica,","B. G. Teubner, 1871.",bibliographically-derived by automatic processes,5/13/2012 19:35,0,1871,"No place, unknown, or undetermined",Spanish,Book
