Volume Identifier,Access,Rights,University of Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title,Imprint,Rights determination reason code,Date of last update,Government Document,Publication Date,Publication Place,Language,Bibliograhic Format
mdp.39015031074464,allow,pd,001476800,,MiU,001476800,9863803,,,05005484,"Le soleil. Exposé des principales découvertes modernes sur la structure de cet astre,","Gauthier-Villars, 1870.",bib,2013-03-30 19:25:09,0,1870,fr ,fre,BK
nyp.33433069107260,allow,pd,001476800,,NYP,.b13750553x,9863803,,,05005484,"Le soleil. Exposé des principales découvertes modernes sur la structure de cet astre,","Gauthier-Villars, 1870.",bib,2013-04-04 19:25:56,0,1870,fr ,fre,BK
hvd.32044024586885,allow,pd,001476800,,HVD,003669194,9863803,,,05005484,"Le soleil. Exposé des principales découvertes modernes sur la structure de cet astre,","Gauthier-Villars, 1870.",bib,2012-05-13 19:33:20,0,1870,fr ,fre,BK
mdp.39015009321244,allow,pd,001476804,,MiU,001476804,1652395,,,32024439,"The sun,","D. Appleton and company, 1896.",bib,2010-02-19 21:30:03,0,1896,nyu,eng,BK
uc2.ark:/13960/t6xw49692,allow,pd,001476804,,UC,3626805,1652395,,,32024439,"The sun,","D. Appleton and company, 1896.",bib,2010-05-05 19:30:08,0,1896,nyu,eng,BK
mdp.39015051344763,allow,pdus,001476808,,MiU,001476808,11138508,,,14016992//rev.,"The position of the sun's axis as determined from photographs of the sun taken in the years 1874 to 1912 and measured at the Royal Observatory, Greenwich. Under the direction of F.W. Dyson. Published by order of the Board of Admiralty in obedience to His Majesty's command.","Printed under the authority of H.M. Stationery Off. by Neill, Edinburgh, 1913.",bib,2010-07-01 19:31:17,0,1913,enk,eng,BK
mdp.39015064587085,allow,pdus,001476810,,MiU,001476810,39351145,,,06012310,"Grösse, entfernung und masse der sonne ...","Zu haben bei G. Fock und bei dem verfasser, 1882.",bib,2012-02-23 19:30:20,0,1882,ge ,ger,BK
njp.32101037679113,allow,pd,001476815,,NJP,2015366,2361049,,,06012308,"Observations of the spots on the sun from November 9, 1853, to March 24, 1861, made at Redhill, by Richard Christopher Carrington, F.R.S. Illustrated by 166 plates ....","Williams and Norgate, 1863.",bib,2011-03-18 20:31:10,0,1863,enk,eng,BK
mdp.39015051344771,allow,pdus,001476817,,MiU,001476817,15475099,,,08009732 //r872,"Photo-heliographic results 1874 to 1885 being supplementary results from photographs of the sun taken at Greenwich, at Harvard college, U.S.A., at Melbourne, in India, and in Mauritius in the years 1874 to 1885: and measured and reduced at the Royal observatory, Greenwich, under the direction of Sir W.H.M. Christie ... astronomer royal.","Printed for H.M. Stationery off., by Neill & co., limited, 1907.",bib,2010-07-01 19:30:50,0,1907,stk,eng,BK
uc2.ark:/13960/t9086578c,allow,pdus,001476817,,UC,.b124174905,15475099,,,08009732 //r872,"Photo-heliographic results 1874 to 1885 being supplementary results from photographs of the sun taken at Greenwich, at Harvard college, U.S.A., at Melbourne, in India, and in Mauritius in the years 1874 to 1885: and measured and reduced at the Royal observatory, Greenwich, under the direction of Sir W.H.M. Christie ... astronomer royal.","Printed for H.M. Stationery off., by Neill & co., limited, 1907.",bib,2011-02-12 19:30:17,0,1907,stk,eng,BK
mdp.39015038948546,allow,pd,001476818,,MiU,001476818,192625,,,34006567 //r87,"A multiplet table of astrophysical interest, by Charlotte E. Moore ...",1933.,ren,2010-04-13 04:31:06,0,1933,nju,eng,BK
mdp.39015085464082,allow,pd,001476820,,MiU,001476820,10602788,,,34005793,"Atomic lines in the sun-spot spectrum,",1933.,ren,2010-10-19 15:34:43,0,1933,nju,eng,BK
mdp.39015069922642,allow,pd,001476838,,MiU,001476838,38889097,,,14013398,"A determination of the sun's temperature,",1914],bib,2012-11-05 19:30:13,0,1914,ilu,eng,BK
uc1.b560496,allow,pdus,001476839,,UC,GLAD151129235-B,5002062,,,04012897,"On the conservation of solar energy; a collection of papers and discussions,","Macmillan and co., 1883.",bib,2013-05-11 19:25:22,0,1883,enk,eng,BK
uc2.ark:/13960/t8z894199,allow,pdus,001476839,,UC,.b149482863,5002062,,,04012897,"On the conservation of solar energy; a collection of papers and discussions,","Macmillan and co., 1883.",bib,2011-02-14 19:30:16,0,1883,enk,eng,BK
mdp.39015030992112,allow,pd,001476846,,MiU,001476846,8056457,,,22007286,"Historical eclipses, being the Halley lecture delivered 17 May 1921,","The Clarendon press, 1921.",add,2013-02-28 17:27:34,0,1921,enk,eng,BK
uc2.ark:/13960/t15m6361h,allow,pd,001476846,,UC,.b131367808,8056457,,,22007286,"Historical eclipses, being the Halley lecture delivered 17 May 1921,","The Clarendon press, 1921.",add,2013-02-28 17:27:35,0,1921,enk,eng,BK
chi.11672732,allow,pdus,001476847,c.1,CHI,2209238,773998,,,36021571,Spezieller kanon der sonnen- und mondfinsternisse für das ländergebiet der klassischen altertumswissenschaften und dem zeitraum von 900 vor Chr. bis 600 nach Chr.,"Mayer & Müller, 1899.",bib,2012-06-14 04:30:04,0,1899,gw ,ger,BK
uc1.b560498,allow,pd,001476848,,UC,GLAD151129223-B,993032,,,24028602 //r86,"A handbook of solar eclipses, by Isabel Martin Lewis, A.M. (Corrected with the Nautical almanac office of the U.S. Naval observatory.)","Duffield & company, 1924.",ren,2012-09-06 05:30:05,0,1924,nyu,eng,BK
